id	time	property	value1	value2
Component.56	466.92	place	enter	M2_1
Part.48	466.92	place	exit	B1_1
Part.48	466.92	place	enter	B2_1
Part.53	466.92	place	exit	M1_1
Part.53	466.92	place	enter	B1_1
Part.54	466.92	place	enter	M1_1
Part.37	467.4309	place	exit	B4_1
Part.37	467.4309	place	enter	M5_1
Part.44	476.92	place	exit	M4_1
Part.44	476.92	place	enter	B4_1
Part.45	476.92	place	enter	M4_1
Part.45	476.92	place	exit	B2_1
Component.45	476.92	place	exit	M2_1
Component.57	476.92	place	enter	M2_1
Part.49	476.92	place	exit	B1_1
Part.49	476.92	place	enter	B2_1
Part.54	476.92	place	exit	M1_1
Part.54	476.92	place	enter	B1_1
Part.55	476.92	place	enter	M1_1
Part.28	477.4309	place	exit	M5_1
Part.38	479.4309	place	exit	B4_1
Part.38	479.4309	place	enter	M5_1
Part.45	486.92	place	exit	M4_1
Part.45	486.92	place	enter	B4_1
Part.46	486.92	place	enter	M4_1
Part.46	486.92	place	exit	B2_1
Component.46	486.92	place	exit	M2_1
Component.58	486.92	place	enter	M2_1
Part.50	486.92	place	exit	B1_1
Part.50	486.92	place	enter	B2_1
Part.55	486.92	place	exit	M1_1
Part.55	486.92	place	enter	B1_1
Part.56	486.92	place	enter	M1_1
Part.29	490.4309	place	exit	M5_1
Part.39	502.7587	place	exit	B4_1
Part.39	502.7587	place	enter	M5_1
Part.46	502.7587	place	exit	M4_1
Part.46	502.7587	place	enter	B4_1
Part.47	502.7587	place	enter	M4_1
Part.47	502.7587	place	exit	B2_1
Component.47	502.7587	place	exit	M2_1
Component.59	502.7587	place	enter	M2_1
Part.51	502.7587	place	exit	B1_1
Part.51	502.7587	place	enter	B2_1
Part.56	502.7587	place	exit	M1_1
Part.56	502.7587	place	enter	B1_1
Part.57	502.7587	place	enter	M1_1
Part.30	503.4309	place	exit	M5_1
Part.40	514.7587	place	exit	B4_1
Part.40	514.7587	place	enter	M5_1
Part.47	514.7587	place	exit	M4_1
Part.47	514.7587	place	enter	B4_1
Part.48	514.7587	place	enter	M4_1
Part.48	514.7587	place	exit	B2_1
Component.48	514.7587	place	exit	M2_1
Component.60	514.7587	place	enter	M2_1
Part.52	514.7587	place	exit	B1_1
Part.52	514.7587	place	enter	B2_1
Part.57	514.7587	place	exit	M1_1
Part.57	514.7587	place	enter	B1_1
Part.58	514.7587	place	enter	M1_1
Part.31	516.4309	place	exit	M5_1
Part.41	526.7587	place	exit	B4_1
Part.41	526.7587	place	enter	M5_1
Part.48	526.7587	place	exit	M4_1
Part.48	526.7587	place	enter	B4_1
Part.49	526.7587	place	enter	M4_1
Part.49	526.7587	place	exit	B2_1
Component.49	526.7587	place	exit	M2_1
Component.61	526.7587	place	enter	M2_1
Part.53	526.7587	place	exit	B1_1
Part.53	526.7587	place	enter	B2_1
Part.58	526.7587	place	exit	M1_1
Part.58	526.7587	place	enter	B1_1
Part.59	526.7587	place	enter	M1_1
Part.32	529.4309	place	exit	M5_1
Part.42	538.7587	place	exit	B4_1
Part.42	538.7587	place	enter	M5_1
Part.49	538.7587	place	exit	M4_1
Part.49	538.7587	place	enter	B4_1
Part.50	538.7587	place	enter	M4_1
Part.50	538.7587	place	exit	B2_1
Component.50	538.7587	place	exit	M2_1
Component.62	538.7587	place	enter	M2_1
Part.54	538.7587	place	exit	B1_1
Part.54	538.7587	place	enter	B2_1
Part.59	538.7587	place	exit	M1_1
